Book,Chapter,Sub-Topic,DF Topic Refs,DF Topic Names (review)
GCSE Foundation,9 Graphs,Distance–time graphs,113;325;326;327,"Reading and using timetables and distance charts (orphan, 0.17) | Speed calculations for a single journey (0.17) | Speed calculations for multiple journeys or a journey in stages (0.16) | Constructing and reading distance-time graphs (0.40)"
GCSE Foundation,9 Graphs,More real-life graphs,114;332,Interpreting and presenting data in simple graphs (manual) | Real-life linear graphs (0.28)
GCSE Foundation,10 Transformations,Translation,154;374;375,Translating a shape using directional language (no axes) (manual) | Translations of shapes by a vector (manual) | Describing translations using vector notation (manual)
GCSE Foundation,10 Transformations,Reflection,153;278;279,Reflecting a shape on axes using a given mirror line (manual) | Reflecting a shape in a line with given equation (manual) | Describing a reflection (0.36)
GCSE Foundation,10 Transformations,Rotation,281;282,Rotating a shape by a given angle around a given point (manual) | Describing a rotation (0.36)
GCSE Foundation,10 Transformations,Enlargement,294;295;296;297,Describing an enlargement/dilation for a positive integer scale factor (0.18) | Enlarging/dilating a shape by a given positive integer scale factor (manual) | Describing an enlargement/dilation for a positive fractional scale factor (0.17) | Enlarging/dilating a shape by a positive fractional scale factor (manual)
GCSE Foundation,10 Transformations,Describing enlargements,294;296,"Describing an enlargement/dilation for a positive integer scale factor (tier fix) | Describing an enlargement/dilation for a positive fractional scale factor (tier fix - replaces 377, which is Higher-only negative scale factor)"
GCSE Foundation,10 Transformations,Combining transformations,378,Combining transformations (0.40)
GCSE Foundation,11 Ratio and proportion,Writing ratios,224,Simplifying ratios and forming ratios from a given context (manual)
GCSE Foundation,11 Ratio and proportion,Using ratios 1,225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual)"
GCSE Foundation,11 Ratio and proportion,Ratios and measures,224,Simplifying ratios and forming ratios from a given context (manual)
GCSE Foundation,11 Ratio and proportion,Using ratios 2,225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual)"
GCSE Foundation,11 Ratio and proportion,Comparing using ratios,224;226,"Simplifying ratios and forming ratios from a given context (manual) | Relationship between fractions, percentages and ratio (manual)"
GCSE Foundation,11 Ratio and proportion,Using proportion,176,Multiplicative scaling and numerical proportion relationships (0.07)
GCSE Foundation,11 Ratio and proportion,Proportion and graphs,176;267,Multiplicative scaling and numerical proportion relationships (0.05) | Plotting a straight line from a table of values (manual)
GCSE Foundation,11 Ratio and proportion,Proportion problems,176;225,"Multiplicative scaling and numerical proportion relationships (0.15) | Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual)"
GCSE Foundation,12 Right-angled triangles,Pythagoras' theorem 1,288,Pythagoras' theorem in 2D (excluding surds) (0.30)
GCSE Foundation,12 Right-angled triangles,Pythagoras' theorem 2,288;289,Pythagoras' theorem in 2D (excluding surds) (0.30) | Distance between two points given their coordinates (0.26)
GCSE Foundation,12 Right-angled triangles,Trigonometry: the sine ratio 1,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
GCSE Foundation,12 Right-angled triangles,Trigonometry: the sine ratio 2,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
GCSE Foundation,12 Right-angled triangles,Trigonometry: the cosine ratio,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
GCSE Foundation,12 Right-angled triangles,Trigonometry: the tangent ratio,321,Trigonometry to determine side lengths in a right-angled triangle (0.14)
GCSE Foundation,12 Right-angled triangles,Finding lengths and angles using trigonometry,321;322,Trigonometry to determine side lengths in a right-angled triangle (0.14) | Trigonometry to determine angles in a right-angled triangle (manual)
GCSE Foundation,13 Probability,Calculating probability,248,Theoretical probabilities using counts (manual)
GCSE Foundation,13 Probability,Two events,249;250,Sample space diagrams (manual) | Probabilities of mutually exclusive events (manual)
GCSE Foundation,13 Probability,Experimental probability,251,"Experimental probabilities, expectation and bias (0.11)"
GCSE Foundation,13 Probability,Venn diagrams,242;356;355;357,Construct Venn diagrams (0.26) | Probabilities from Venn diagrams of frequencies (using set notation) (0.25) | Probabilities from Venn diagrams of frequencies (no set notation) (0.23) | Conditional probability (no set notation) (0.16)
GCSE Foundation,13 Probability,Tree diagrams,353;241,"Probability of independent and successive independent events (including tree diagrams) (0.22) | Frequency trees (gap-filled) [removed 354 - Higher only, dependent events]"
GCSE Foundation,13 Probability,More tree diagrams,353,"Probability of independent and successive independent events (including tree diagrams) (0.20) [removed 354 - Higher only, dependent events]"
GCSE Foundation,14 Multiplicative reasoning,Percentages,215;220;221,"Percentage change (manual) | Value after a simple percentage change, using non-calculator methods (manual) | Value after a general percentage change, using decimal multipliers (manual)"
GCSE Foundation,14 Multiplicative reasoning,Growth and decay,359,Calculating values after compound percentage changes (manual)
GCSE Foundation,14 Multiplicative reasoning,Direct and inverse proportion,176,"Multiplicative scaling and numerical proportion relationships (0.10) [removed 386 - Higher only, algebraic proportion]"
GCSE Foundation,"15 Constructions, loci and bearings",3D solids,142;146,Properties of prisms and cylinders (manual) | Platonic solids (0.12)
GCSE Foundation,"15 Constructions, loci and bearings",Plans and elevations,228,"Front elevation, side elevation and plan of a 3D shape (manual)"
GCSE Foundation,"15 Constructions, loci and bearings",Accurate drawings 1,137,Drawing 2D shapes to scale given dimensions and angles (manual)
GCSE Foundation,"15 Constructions, loci and bearings",Scale drawings and maps,283,Scale drawings including map scales (0.17)
GCSE Foundation,"15 Constructions, loci and bearings",Accurate drawings 2,137,Drawing 2D shapes to scale given dimensions and angles (manual)
GCSE Foundation,"15 Constructions, loci and bearings",Constructions,284,Constructions with lines and angles (manual)
GCSE Foundation,"15 Constructions, loci and bearings",Loci and regions,285,Loci (0.08)
GCSE Foundation,"15 Constructions, loci and bearings",Bearings,264,Bearings (excluding trigonometry) (0.12)
GCSE Foundation,16 Quadratic equations and graphs,Expanding double brackets,299,Expanding double brackets (0.46)
GCSE Foundation,16 Quadratic equations and graphs,Plotting quadratic graphs,366;368,Plotting quadratic graphs from a table of values (0.33) | Quadratic graphs and their features (manual)
GCSE Foundation,16 Quadratic equations and graphs,Using quadratic graphs,421;366,Using graphs to count solutions and find approximate solutions to equations (manual) | Plotting quadratic graphs from a table of values (0.18)
GCSE Foundation,16 Quadratic equations and graphs,Factorising quadratic expressions,362,"Factorising quadratic expressions given in the form x^2 + bx + c (0.43) [removed 364 - Higher only, a not equal to 1 case]"
GCSE Foundation,16 Quadratic equations and graphs,Solving quadratic equations algebraically,367,"Solving quadratic equations by factorisation (0.31) [removed 415, 417 - Higher only, quadratic formula]"
GCSE Foundation,"17 Perimeter, area and volume 2",Circumference of a circle 1,209,Circumference of a full circle (0.49)
GCSE Foundation,"17 Perimeter, area and volume 2",Circumference of a circle 2,209,Circumference of a full circle (0.49)
GCSE Foundation,"17 Perimeter, area and volume 2",Area of a circle,210;213,Area of a full circle (0.43) | Area of composite shapes involving circles (0.15)
GCSE Foundation,"17 Perimeter, area and volume 2",Semicircles and sectors,211;318;319,"Area or perimeter of simple fractions of circles (manual) | Arc length of more general sectors (orphan, 0.11) | Area of more general sectors (0.12)"
GCSE Foundation,"17 Perimeter, area and volume 2",Composite 2D shapes and cylinders,181;182;233,"Area of composite rectilinear shapes (manual) | Area of composite shapes using rectangles and triangles (manual) | Volume of a cylinder (orphan, 0.14)"
GCSE Foundation,"17 Perimeter, area and volume 2",Pyramids and cones,405;406,"Volume of a pyramid, cone or sphere (orphan, relocated) | Surface area of a cone or sphere/hemisphere (manual)"
GCSE Foundation,"17 Perimeter, area and volume 2",Spheres and composite solids,405;406,"Volume of a pyramid, cone or sphere (manual) | Surface area of a cone or sphere/hemisphere (manual)"
GCSE Foundation,"18 Fractions, indices and standard form",Multiplying and dividing fractions,120;167;119;121;168,Multiplying proper fractions with no simplifying (manual) | Multiplying fractions involving a mixed number (manual) | Multiplying fractions and mixed numbers by an integer (manual) | Dividing fractions by integers (0.19) | Dividing fractions involving a mixed number (0.19)
GCSE Foundation,"18 Fractions, indices and standard form",The laws of indices,158;194,Numerical index laws (basic) (0.27) | Algebraic index laws (basic) (0.21)
GCSE Foundation,"18 Fractions, indices and standard form",Writing large numbers in standard form,301,Conversion of large numbers to and from standard form/scientific notation (0.33)
GCSE Foundation,"18 Fractions, indices and standard form",Writing small numbers in standard form,302,Conversion of small numbers to and from standard form/scientific notation (0.35)
GCSE Foundation,"18 Fractions, indices and standard form",Calculating with standard form,303;302;301;304,Adding or subtracting numbers in standard form/scientific notation (0.17) | Conversion of small numbers to and from standard form/scientific notation (0.17) | Conversion of large numbers to and from standard form/scientific notation (0.16) | Multiplying and dividing numbers in standard form/scientific notation (0.16)
GCSE Foundation,"19 Congruence, similarity and vectors",Similarity and enlargement,129;291;294,Similar shapes with integer scale factors (manual) | Properties of similar shapes (manual) | Describing an enlargement/dilation for a positive integer scale factor (0.11)
GCSE Foundation,"19 Congruence, similarity and vectors",More similarity,292,Determine unknown lengths in similar shapes (manual)
GCSE Foundation,"19 Congruence, similarity and vectors",Using similarity,292,Determine unknown lengths in similar shapes (manual)
GCSE Foundation,"19 Congruence, similarity and vectors",Congruence 1,290;471,"Properties of congruent shapes (manual) | Proving triangle congruence using SSS, SAS, ASA and RHS (0.09)"
GCSE Foundation,"19 Congruence, similarity and vectors",Congruence 2,471,"Proving triangle congruence using SSS, SAS, ASA and RHS (0.09)"
GCSE Foundation,"19 Congruence, similarity and vectors",Vectors 1,372;373,"Column vector notation (manual) | Adding, subtracting and scaling column vectors (manual)"
GCSE Foundation,"19 Congruence, similarity and vectors",Vectors 2,473,"Vectors using variables (tier fix - replaces 474, which is Higher-only formal vector proof)"
GCSE Foundation,20 More algebra,Graphs of cubic and reciprocal functions,420;422;426;427,"Plotting simple cubic graphs (manual) | Plotting reciprocal graphs (manual) | Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations (0.26) | Recognising the shape of more complex forms of quadratic, cubic, reciprocal and exponential graphs based on their equations (0.23)"
GCSE Foundation,20 More algebra,Non-linear graphs,422;426;427,"Plotting reciprocal graphs (manual) | Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations (manual) | Recognising the shape of more complex forms of quadratic, cubic, reciprocal and exponential graphs based on their equations (manual)"
GCSE Foundation,20 More algebra,Solving simultaneous equations graphically,275,Solving linear simultaneous equations/systems of equations using graphical methods (manual)
GCSE Foundation,20 More algebra,Solving simultaneous equations algebraically,276,Solving linear simultaneous equations/systems of equations using elimination or substitution (manual)
GCSE Foundation,20 More algebra,Rearranging formulae,201,"Changing the subject where the variable appears once only, excluding brackets (manual)"
GCSE Foundation,20 More algebra,Proof,453,Testing conjectures and identifying counterexamples (manual)
