Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
2470,291b,291,3,No,Triangle A has one angle of 90° and another of 35°. Similar Triangle B shares these. Find B's third angle.,55°,65°,45°,Angles sum to 180°: 180 - 90 - 35 = 55°.,Subtract both known angles from 180°.,,,,,,,
2471,291c,291,1,No,A shape has a side of 4cm. A similar shape has the corresponding side 10cm. Find the scale factor.,2.5,6,0.4,Divide: 10 / 4 = 2.5.,Divide the new length by the original length.,,,,,,,
2472,291c,291,2,No,A shape has a side of 8cm. A similar shape has the corresponding side 6cm. Find the scale factor.,0.75,1.33,2,Divide: 6 / 8 = 0.75.,Divide the new length by the original length.,,,,,,,
2473,291c,291,3,No,A shape's perimeter is 20cm. A similar shape's perimeter is 50cm. Find the scale factor.,2.5,30,0.4,Divide: 50 / 20 = 2.5.,The scale factor works the same way for perimeters as for individual sides.,,,,,,,
2474,291d,291,1,No,"Are all squares similar to each other, regardless of size?",Yes,No,Only if congruent,"All squares have equal angles (90°) and sides in the same ratio, so they are always similar.",Similar shapes just need matching angles and proportional sides.,,,,,,,
2475,291d,291,2,No,"Are all rectangles similar to each other, regardless of size?",No,Yes,Only if squares,"Rectangles can have different side ratios, so they aren't always similar.",Check whether the ratio of the sides is always the same.,,,,,,,
2476,291d,291,3,No,"Are all equilateral triangles similar to each other, regardless of size?",Yes,No,Only if congruent,"All equilateral triangles have equal 60° angles and equal side ratios, so they are always similar.",Similar shapes just need matching angles and proportional sides.,,,,,,,
2477,291e,291,2,No,"Shape A has sides 3cm, 4cm, 5cm. Shape B has sides 6cm, 8cm, 11cm. Are they similar?",No,Yes,Only two sides match,"The ratios are 2, 2 and 2.2, which are not all equal, so the shapes are not similar.",Check whether all corresponding sides share the same ratio.,,,,,,,
2478,291e,291,3,No,"Shape A has sides 5cm, 7cm, 9cm. Shape B has sides 10cm, 14cm, 18cm. Are they similar?",Yes,No,Only if angles match,"The ratios are all 2, so the shapes are similar.",Check whether all corresponding sides share the same ratio.,,,,,,,
2479,292a,292,1,No,Shape A has sides 4cm and 6cm. Similar Shape B has a corresponding side of 6cm. Find the other side of B.,9cm,4cm,8cm,"The scale factor is 6/4=1.5, so 6 x 1.5 = 9cm.",Find the scale factor first from the known pair of sides.,,,,,,,
2480,292b,292,2,No,Two similar triangles share a vertex. The small triangle's legs are 3cm and 5cm; the large one's matching leg is 9cm. Find its other leg.,15cm,10cm,12cm,"The scale factor is 9/3=3, so 5 x 3 = 15cm.",Find the scale factor first from the known pair of sides.,,,,,,,
2481,292c,292,2,No,"A small triangle (base 4cm, height 6cm) sits inside a similar large triangle with height 12cm. Find the large triangle's base.",8cm,6cm,24cm,"The scale factor is 12/6=2, so 4 x 2 = 8cm.",Find the scale factor from the heights first.,,,,,,,
2482,292d,292,2,No,Two similar shapes have perimeters 20cm and 30cm. The smaller shape has a side of 8cm. Find the matching side on the larger shape.,12cm,10cm,16cm,"The scale factor is 30/20=1.5, so 8 x 1.5 = 12cm.",Use the perimeters to find the scale factor first.,,,,,,,
2483,292d,292,3,No,Two similar shapes have perimeters 16cm and 24cm. The smaller shape has a side of 5cm. Find the matching side on the larger shape.,7.5cm,8cm,7cm,"The scale factor is 24/16=1.5, so 5 x 1.5 = 7.5cm.",Use the perimeters to find the scale factor first.,,,,,,,
2484,292e,292,3,No,A 4cm by 6cm photo is enlarged by scale factor 2.5 to fit a 10cm by 12cm frame. How much of the longer side is trimmed?,3cm,5cm,2cm,"The enlarged photo is 10cm x 15cm, so 15 - 12 = 3cm must be trimmed.","Enlarge both sides first, then compare to the frame size.",,,,,,,
2485,292f,292,3,No,"A triangle has base 20cm, height 15cm. A similar triangle is cut from the top with base 8cm. Find the remaining trapezium's height.",9cm,6cm,12cm,"The small triangle's height is 6cm (15x8/20), so the remaining height is 15-6=9cm.","Find the small triangle's height using the scale factor, then subtract.",,,,,,,
2486,292h,292,3,No,Right triangle A has legs 3cm and 4cm. Similar Triangle B is enlarged by scale factor 4. Find B's hypotenuse.,20cm,16cm,28cm,"B's legs are 12cm and 16cm, and 12^2+16^2=400, so the hypotenuse is 20cm.","Enlarge both legs first, then use Pythagoras.",,,,,,,
2487,292i,292,2,No,A 24cm line is split by a point in the ratio 1:3 using similar triangles. Find the shorter part.,6cm,8cm,18cm,"The ratio 1:3 has 4 total parts, so the shorter part is 24 / 4 = 6cm.",Divide the total length by the total number of parts in the ratio.,,,,,,,
2488,292i,292,3,No,A 30cm line is split by a point in the ratio 2:3 using similar triangles. Find the longer part.,18cm,12cm,20cm,"The ratio 2:3 has 5 total parts, so the longer part is 30 x 3/5 = 18cm.","Divide the total length by the total number of parts, then scale up.",,,,,,,
2489,294a,294,1,No,A shape has a side of 3cm. Its enlarged image has the corresponding side 9cm. Find the scale factor.,3,6,27,Divide: 9 / 3 = 3.,Divide the image length by the original length.,,,,,,,
2490,294a,294,1,No,A shape has a side of 5cm. Its enlarged image has the corresponding side 20cm. Find the scale factor.,4,15,25,Divide: 20 / 5 = 4.,Divide the image length by the original length.,,,,,,,
2491,294a,294,2,No,A shape has a side of 7cm. Its enlarged image has the corresponding side 21cm. Find the scale factor.,3,14,28,Divide: 21 / 7 = 3.,Divide the image length by the original length.,,,,,,,
2492,294b,294,2,No,"Point (2,3) maps to (6,9) under an enlargement centred at the origin. Find the scale factor.",3,2,6,Divide each coordinate by the original: 6/2=3 and 9/3=3.,Compare each coordinate to the equivalent original coordinate.,,,,,,,
2493,294b,294,2,No,"Point (1,4) maps to (3,12) under an enlargement centred at the origin. Find the scale factor.",3,4,12,Divide each coordinate by the original: 3/1=3 and 12/4=3.,Compare each coordinate to the equivalent original coordinate.,,,,,,,
2494,294b,294,3,No,"Point (3,-1) maps to (9,-3) under an enlargement centred at the origin. State the scale factor and centre.","3, origin","3, (3,-1)","9, origin","Dividing gives a scale factor of 3, and both original and image lie on lines through the origin.",Check whether the image coordinates are a multiple of the original ones.,,,,,,,
2495,294b,294,3,No,"Point (4,1) maps to (10,-5) under an enlargement centred at (1,4). Find the scale factor.",3,2,6,"The vector from centre to point is (3,-3); the vector to the image is (9,-9), which is 3 times as long.",Compare the vector from the centre to the point with the vector from the centre to the image.,,,,,,,
2496,295b,295,2,No,"Enlarge the point (4,1) by scale factor 2, centred at (1,1) (a vertex of the shape). Find the image.","(7,1)","(9,1)","(5,1)","Move to the centre: (3,0). Scale by 2: (6,0). Move back: (7,1).","Translate so the centre is the origin, scale, then translate back.",,,,,,,
2497,295c,295,1,No,"Enlarge the point (2,3) by scale factor 3, centred at the origin. Find the image.","(6,9)","(5,6)","(2,3)","Multiply each coordinate by the scale factor: (2x3,3x3)=(6,9).",Multiply both coordinates by the scale factor when the centre is the origin.,,,,,,,
2498,295c,295,1,No,"Enlarge the point (-1,4) by scale factor 2, centred at the origin. Find the image.","(-2,8)","(1,8)","(-1,8)","Multiply each coordinate by the scale factor: (-1x2,4x2)=(-2,8).",Multiply both coordinates by the scale factor when the centre is the origin.,,,,,,,
2499,295c,295,2,No,"Enlarge the point (5,-2) by scale factor 4, centred at the origin. Find the image.","(20,-8)","(9,2)","(20,2)","Multiply each coordinate by the scale factor: (5x4,-2x4)=(20,-8).",Multiply both coordinates by the scale factor when the centre is the origin.,,,,,,,
2500,295d,295,2,No,"Enlarge the point (0,-2) by scale factor 3, centred at (-2,-2), which is outside the shape. Find the image.","(4,-2)","(-6,-2)","(2,-2)","Move to the centre: (2,0). Scale by 3: (6,0). Move back: (4,-2).","Translate so the centre is the origin, scale, then translate back.",,,,,,,
2501,295e,295,3,No,"Enlarge the point (4,5) by scale factor 2, centred at (2,3), which is inside the shape. Find the image.","(6,7)","(8,10)","(6,10)","Move to the centre: (2,2). Scale by 2: (4,4). Move back: (6,7).","Translate so the centre is the origin, scale, then translate back.",,,,,,,
2502,296a,296,1,No,A shape's side is 8cm. Its image is 2cm. Find the scale factor as a unit fraction.,'1/4,'1/2,4,Divide: 2 / 8 = 1/4.,Divide the image length by the original length.,,,,,,,
2503,296a,296,2,No,"Point (8,12) maps to (2,3) under an enlargement centred at the origin. Find the scale factor.",'1/4,'1/3,4,Divide each coordinate by the original: 2/8=1/4 and 3/12=1/4.,Compare each coordinate to the equivalent original coordinate.,,,,,,,
2504,296b,296,2,No,A shape's side is 12cm. Its image is 8cm. Find the scale factor as a fraction less than one.,'2/3,'3/4,'3/2,Divide: 8 / 12 = 2/3.,Divide the image length by the original length.,,,,,,,
2505,296b,296,3,No,"Point (8,2) maps to (6,2) under an enlargement centred at (2,2). Find the scale factor.",'2/3,'3/4,'3/2,"The vector from the centre to the point is (6,0); to the image it is (4,0), which is 2/3 of the original.",Compare the vector from the centre to the point and to the image.,,,,,,,
2506,296c,296,1,No,A shape's side is 8cm. Its image is 12cm. Find the scale factor as a fraction greater than one.,'3/2,'2/3,'4/3,Divide: 12 / 8 = 3/2.,Divide the image length by the original length.,,,,,,,
2507,296c,296,2,No,"Point (4,2) maps to (10,5) under an enlargement centred at the origin. Find the scale factor.",'5/2,'2/5,'3/2,Divide each coordinate by the original: 10/4=5/2 and 5/2=5/2.,Compare each coordinate to the equivalent original coordinate.,,,,,,,
2508,296c,296,3,No,"Point (5,3) maps to (7,4) under an enlargement centred at (1,1). Find the scale factor.",'3/2,'2/3,2,"The vector from the centre to the point is (4,2); to the image it is (6,3), which is 3/2 of the original.",Compare the vector from the centre to the point and to the image.,,,,,,,
2509,297a,297,1,No,"Enlarge the point (6,8) by scale factor 1/2, centred at the origin. Find the image.","(3,4)","(12,16)","(6,4)","Multiply each coordinate by 1/2: (6x1/2,8x1/2)=(3,4).",Multiply both coordinates by the fraction when the centre is the origin.,,,,,,,
2510,297a,297,1,No,"Enlarge the point (9,6) by scale factor 1/3, centred at the origin. Find the image.","(3,2)","(27,18)","(6,3)","Multiply each coordinate by 1/3: (9x1/3,6x1/3)=(3,2).",Multiply both coordinates by the fraction when the centre is the origin.,,,,,,,
2511,297a,297,2,No,"Enlarge the point (10,2) by scale factor 1/4, centred at (2,2). Find the image.","(4,2)","(2,2)","(3,2)","Move to the centre: (8,0). Scale by 1/4: (2,0). Move back: (4,2).","Translate so the centre is the origin, scale, then translate back.",,,,,,,
2512,297b,297,2,No,"Enlarge the point (9,6) by scale factor 2/3, centred at the origin. Find the image.","(6,4)","(13.5,9)","(3,2)","Multiply each coordinate by 2/3: (9x2/3,6x2/3)=(6,4).",Multiply both coordinates by the fraction when the centre is the origin.,,,,,,,
2513,297b,297,3,No,"Enlarge the point (9,5) by scale factor 3/4, centred at (1,1). Find the image.","(7,4)","(6.75,3.75)","(8,4)","Move to the centre: (8,4). Scale by 3/4: (6,3). Move back: (7,4).","Translate so the centre is the origin, scale, then translate back.",,,,,,,
2514,297c,297,1,No,"Enlarge the point (4,6) by scale factor 3/2, centred at the origin. Find the image.","(6,9)","(2.7,4)","(8,12)","Multiply each coordinate by 3/2: (4x3/2,6x3/2)=(6,9).",Multiply both coordinates by the fraction when the centre is the origin.,,,,,,,
2515,297c,297,2,No,"Enlarge the point (2,4) by scale factor 5/2, centred at the origin. Find the image.","(5,10)","(0.8,1.6)","(7,9)","Multiply each coordinate by 5/2: (2x5/2,4x5/2)=(5,10).",Multiply both coordinates by the fraction when the centre is the origin.,,,,,,,
2516,298a,298,1,No,Evaluate 2^-3.,'1/8,-8,8,2^-3 = 1/2^3 = 1/8.,A negative power means one over the positive power.,Evaluate 2^{-3}.,{1/8},,,,,
2517,298a,298,1,No,Evaluate 5^-2.,'1/25,-10,10,5^-2 = 1/5^2 = 1/25.,A negative power means one over the positive power.,Evaluate 5^{-2}.,{1/25},,,,,
2518,298a,298,2,No,Evaluate 3^-4.,'1/81,-12,12,3^-4 = 1/3^4 = 1/81.,A negative power means one over the positive power.,Evaluate 3^{-4}.,{1/81},,,,,
2519,298b,298,2,No,"Evaluate (2/3)^-2, giving your answer as a fraction.",2 and 1/4,'4/9,'9/2,Flip the fraction and make the power positive: (3/2)^2 = 9/4.,"Flip the fraction upside down, then use a positive power.","Evaluate (2/3)^{-2}, giving your answer as a fraction.",2{1/4},,,,,
2520,298b,298,1,No,Evaluate (1/2)^-3.,8,'1/8,-8,Flip the fraction and make the power positive: 2^3 = 8.,"Flip the fraction upside down, then use a positive power.",Evaluate (1/2)^{-3}.,,,,,,
2521,298c,298,2,No,Evaluate 0.2^-2.,25,'1/25,-25,"0.2 = 1/5, so (1/5)^{-2} = 5^2 = 25.",Convert the decimal to a fraction first.,Evaluate 0.2^{-2}.,,,,,,
2522,298c,298,2,No,Evaluate 0.5^-3.,8,'1/8,-8,"0.5 = 1/2, so (1/2)^{-3} = 2^3 = 8.",Convert the decimal to a fraction first.,Evaluate 0.5^{-3}.,,,,,,
2523,298d,298,1,No,Write x^-3 as a fraction.,'1/x^3,#NAME?,'x^3,A negative power means one over the positive power: x^-3 = 1/x^3.,A negative power means one over the positive power.,Write x^{-3} as a fraction.,{1/x^3},,,,,
2524,298d,298,2,No,Write (2x)^-2 as a fraction.,'1/4x^2,'1/2x^2,'2/x^2,(2x)^-2 = 1/(2x)^2 = 1/4x^2.,"Square the whole bracket, including the 2, before flipping.",Write (2x)^{-2} as a fraction.,{1/4x^2},,,,,
2525,298e,298,1,No,Write 1/x^5 as a power of x.,x^-5,x^5,'5/x,1/x^5 has the same value as x^-5.,A term on the bottom of a fraction becomes a negative power.,Write 1/x^5 as a power of x.,x^{-5},,,,,
2526,298f,298,2,No,Write (2x/y)^-1 as a fraction.,'y/2x,'2x/y,'2/xy,Flip the fraction and make the power positive: y/(2x).,"Flip the fraction upside down, then use a positive power.",Write (2x/y)^{-1} as a fraction.,{y/2x},,,,,
2527,298f,298,3,No,Write (a/b)^-3 as a fraction.,'b^3/a^3,'a^3/b^3,'b/a,Flip the fraction and make the power positive: b^3/a^3.,"Flip the fraction upside down, then use a positive power.",Write (a/b)^{-3} as a fraction.,{b^3/a^3},,,,,
2528,298g,298,2,No,2^x = 1/16. Find x.,-4,4,-8,"1/16 = 2^-4, so x = -4.",Write 1/16 as a power of 2 first.,,,,,,,
2529,298g,298,2,No,5^n = 1/125. Find n.,-3,3,-5,"1/125 = 5^-3, so n = -3.",Write 1/125 as a power of 5 first.,,,,,,,
2530,298h,298,2,No,b^-2 = 1/9. Find b.,3,9,-3,"1/9 = 3^{-2}, so b = 3.",Find which number squared gives the denominator.,b^{-2} = 1/9. Find b.,,,,,,
2531,298h,298,2,No,b^-3 = 1/64. Find b.,4,64,-4,"1/64 = 4^{-3}, so b = 4.",Find which number cubed gives the denominator.,b^{-3} = 1/64. Find b.,,,,,,
2532,298i,298,3,No,2^n = 0.125. Find n.,-3,3,-2,"0.125 = 1/8 = 2^-3, so n = -3.",Convert the decimal to a fraction first.,,,,,,,
2533,298i,298,3,No,b^-2 = 0.04. Find b.,5,0.2,-5,"0.04 = 1/25 = 5^{-2}, so b = 5.",Convert the decimal to a fraction first.,b^{-2} = 0.04. Find b.,,,,,,
2534,298j,298,3,No,2^3 x 2^n = 1/4. Find n.,-5,-1,5,"1/4 = 2^-2, so 3+n=-2, giving n=-5.","Combine the powers on the left, then compare to the power on the right.",,,,,,,
2535,298j,298,3,No,3^4 ÷ 3^n = 1/3. Find n.,5,-5,3,"1/3 = 3^-1, so 4-n=-1, giving n=5.","Combine the powers on the left, then compare to the power on the right.",,,,,,,
2536,298k,298,3,No,b^3 ÷ b^5 = 1/25. Find b.,5,25,-2,"b^3 / b^5 = b^-2 = 1/25, so b = 5 (since 5^-2=1/25).","Combine the powers first, then find the base.",,,,,,,
2537,298k,298,3,No,b^2 x b^-5 = 1/8. Find b.,2,8,-3,"b^2 x b^{-5} = b^{-3} = 1/8, so b = 2 (since 2^{-3}=1/8).","Combine the powers first, then find the base.",b^2 x b^{-5} = 1/8. Find b.,,,,,,
2538,299a,299,1,No,Expand (x+3)(x+5).,x^2+8x+15,x^2+15x+8,x^2+8x+8,Multiply each term: x^2+5x+3x+15 = x^2+8x+15.,Multiply every term in the first bracket by every term in the second.,,,,,,,
2539,299a,299,1,No,Expand (x+2)(x+7).,x^2+9x+14,x^2+14x+9,x^2+9x+9,Multiply each term: x^2+7x+2x+14 = x^2+9x+14.,Multiply every term in the first bracket by every term in the second.,,,,,,,
2540,299b,299,1,No,Expand (x-4)(x-6).,x^2-10x+24,x^2-10x-24,x^2+10x+24,Multiply each term: x^2-6x-4x+24 = x^2-10x+24.,Watch the signs carefully when both brackets are subtractions.,,,,,,,
2541,299b,299,2,No,Expand (x-2)(x-9).,x^2-11x+18,x^2-11x-18,x^2+11x+18,Multiply each term: x^2-9x-2x+18 = x^2-11x+18.,Watch the signs carefully when both brackets are subtractions.,,,,,,,
2542,299c,299,2,No,Expand (x+5)(x-3).,x^2+2x-15,x^2-2x-15,x^2+2x+15,Multiply each term: x^2-3x+5x-15 = x^2+2x-15.,The middle term comes from combining the two cross-terms.,,,,,,,
2543,299d,299,1,No,Expand (x-4)(x+4).,x^2-16,x^2-8x-16,x^2+16,The middle terms cancel: x^2+4x-4x-16 = x^2-16.,This is the difference of two squares — the middle terms always cancel.,,,,,,,
2544,299e,299,1,No,Expand (x+5)^2.,x^2+10x+25,x^2+25,x^2+5x+25,(x+5)^2 = (x+5)(x+5) = x^2+10x+25.,Write the square as two identical brackets multiplied together.,,,,,,,
2545,299e,299,2,No,Expand (x-3)^2.,x^2-6x+9,x^2-9,x^2-3x+9,(x-3)^2 = (x-3)(x-3) = x^2-6x+9.,Write the square as two identical brackets multiplied together.,,,,,,,
2546,299f,299,2,No,Expand (2x+3)(3x-1).,6x^2+7x-3,6x^2+7x+3,5x^2+7x-3,Multiply each term: 6x^2-2x+9x-3 = 6x^2+7x-3.,Multiply the coefficients as well as the letters.,,,,,,,
2547,299g,299,2,No,Expand (3x-2)(3x+2).,9x^2-4,9x^2-12x-4,6x^2-4,The middle terms cancel: 9x^2+6x-6x-4 = 9x^2-4.,This is the difference of two squares — the middle terms always cancel.,,,,,,,
2548,299h,299,3,No,Expand (4-2x)(1+3x).,-6x^2+10x+4,-6x^2-10x+4,6x^2+10x+4,Multiply each term: 4+12x-2x-6x^2 = -6x^2+10x+4.,"Multiply every term carefully, keeping track of the negative x term.",,,,,,,
2549,299i,299,2,No,Expand (x+2y)(x-3y).,x^2-xy-6y^2,x^2+xy-6y^2,x^2-xy+6y^2,Multiply each term: x^2-3xy+2xy-6y^2 = x^2-xy-6y^2.,"Treat y like any other letter, and combine the two middle terms.",,,,,,,
2550,299j,299,3,No,Expand (x+2)(x^2+3x+4).,x^3+5x^2+10x+8,x^3+5x^2+7x+8,x^3+3x^2+10x+8,"Multiply each term in the first bracket by each term in the second, then collect like terms.",Multiply x and 2 separately by all three terms in the second bracket.,,,,,,,
2551,299k,299,3,No,Expand (2x-1)(x^2+3x-2).,2x^3+5x^2-7x+2,2x^3+5x^2-4x+2,2x^3+7x^2-7x+2,"Multiply each term in the first bracket by each term in the second, then collect like terms.",Multiply 2x and -1 separately by all three terms in the second bracket.,,,,,,,
2552,299l,299,3,No,Expand and simplify 2x(x+3)(x-1).,2x^3+4x^2-6x,2x^3+2x^2-6x,2x^3+4x^2+6x,"First expand (x+3)(x-1)=x^2+2x-3, then multiply by 2x.","Expand the two brackets first, then multiply the result by the term outside.",,,,,,,
2553,299m,299,3,No,Expand (x^2+3)(x^3-2).,x^5+3x^3-2x^2-6,x^5+3x^3-2x^2+6,x^6+3x^3-2x^2-6,Multiply each term: x^5-2x^2+3x^3-6 = x^5+3x^3-2x^2-6.,Add the powers when multiplying terms with the same base.,,,,,,,
2554,299n,299,3,No,Expand and simplify (x+1)(x+2)+3(x-1).,x^2+6x-1,x^2+8x-1,x^2+6x+5,"Expand the bracket pair (x^2+3x+2), then add 3(x-1)=3x-3, giving x^2+6x-1.","Expand the double bracket and the single bracket separately, then combine.",,,,,,,
2555,299o,299,3,No,Expand and simplify (x+1)(x+2)-3(x-1).,x^2+5,x^2+3x-1,x^2-1,"Expand the bracket pair (x^2+3x+2), then subtract 3(x-1)=3x-3, giving x^2+5.","Expand the double bracket and the single bracket separately, then combine.",,,,,,,
2556,299p,299,3,No,Expand and simplify (x+1)(x+2)+(x-1)(x+3).,2x^2+5x-1,2x^2+3x-1,2x^2+5x+5,"Expand each bracket pair separately (x^2+3x+2 and x^2+2x-3), then add them.",Expand each pair of brackets fully before combining.,,,,,,,
2557,299q,299,3,No,Expand and simplify (x+1)(x+2)-(x-1)(x+3).,x+5,2x^2-1,x-1,"Expand each bracket pair separately (x^2+3x+2 and x^2+2x-3), then subtract.","Expand each pair of brackets fully before combining, keeping the signs correct.",,,,,,,
2558,299r,299,3,No,Expand and simplify (2x+1)^2+(x-3)^2.,5x^2-2x+10,5x^2+10x-8,3x^2-2x+10,"Expand each square separately (4x^2+4x+1 and x^2-6x+9), then add them.",Expand each square fully before combining.,,,,,,,
2559,299r,299,3,No,Expand and simplify (2x+1)^2-(x-3)^2.,3x^2+10x-8,5x^2-2x+10,3x^2-2x-8,"Expand each square separately (4x^2+4x+1 and x^2-6x+9), then subtract.","Expand each square fully before combining, keeping the signs correct.",,,,,,,
2560,299s,299,3,No,Expand (3+2/x)^2.,9+12/x+4/x^2,9+4/x^2,9+6/x+4/x^2,Square each term and double the product of the two terms: 9 + 12/x + 4/x^2.,Treat 2/x as a single term and square it just like any other bracket.,Expand (3+2/x)^2.,9 + {12/x} + {4/x^2},,,,,
2561,300a,300,2,No,Expand (x+1)(x+2)(x+3).,x^3+6x^2+11x+6,x^3+6x^2+6x+11,x^3+5x^2+11x+6,"Expand two brackets first (x^2+3x+2), then multiply by the third bracket.","Expand any two of the three brackets first, then multiply by the remaining bracket.",,,,,,,
2562,300a,300,3,No,Expand (x-1)(x+2)(x-3).,x^3-2x^2-5x+6,x^3-2x^2+5x+6,x^3+2x^2-5x+6,"Expand two brackets first (x^2+x-2), then multiply by the third bracket.","Expand any two of the three brackets first, then multiply by the remaining bracket.",,,,,,,
2563,300b,300,2,No,Expand (x+1)(2x+1)(x-2).,2x^3-x^2-5x-2,2x^3-x^2-5x+2,2x^3+x^2-5x-2,"Expand two brackets first (2x^2+3x+1), then multiply by the third bracket.","Expand any two of the three brackets first, then multiply by the remaining bracket.",,,,,,,
2564,300b,300,3,No,Expand (x-2)(3x-1)(x+1).,3x^3-4x^2-5x+2,3x^3-4x^2+5x+2,3x^3+4x^2-5x+2,"Expand two brackets first (3x^2-7x+2), then multiply by the third bracket.","Expand any two of the three brackets first, then multiply by the remaining bracket.",,,,,,,
2565,300c,300,3,No,Expand (2x+1)(3x-1)(x+2).,6x^3+13x^2+x-2,6x^3+13x^2-x-2,6x^3+7x^2+x-2,"Expand two brackets first (6x^2+x-1), then multiply by the third bracket.","Expand any two of the three brackets first, then multiply by the remaining bracket.",,,,,,,
2566,300d,300,2,No,Expand (x+2)^3.,x^3+6x^2+12x+8,x^3+8,x^3+6x^2+8x+8,"Expand (x+2)^2 first (x^2+4x+4), then multiply by (x+2).","Expand the square first, then multiply the result by the remaining bracket.",,,,,,,
2567,300d,300,3,No,Expand (2x-1)^3.,8x^3-12x^2+6x-1,8x^3-1,8x^3-6x^2+6x-1,"Expand (2x-1)^2 first (4x^2-4x+1), then multiply by (2x-1).","Expand the square first, then multiply the result by the remaining bracket.",,,,,,,
2568,300e,300,3,No,Expand (x+1)^2(x+3).,x^3+5x^2+7x+3,x^3+5x^2+7x+4,x^3+4x^2+7x+3,"Expand (x+1)^2 first (x^2+2x+1), then multiply by (x+3).","Expand the square first, then multiply the result by the remaining bracket.",,,,,,,
2569,300e,300,3,No,Expand (2x-1)^2(x+2).,4x^3+4x^2-7x+2,4x^3-4x^2-7x+2,4x^3+4x^2-7x-2,"Expand (2x-1)^2 first (4x^2-4x+1), then multiply by (x+2).","Expand the square first, then multiply the result by the remaining bracket.",,,,,,,
2570,300f,300,3,No,Expand and simplify (x+1)^3+(x+2)^2.,x^3+4x^2+7x+5,x^3+4x^2+5x+5,x^3+3x^2+7x+5,"Expand each bracket separately (x^3+3x^2+3x+1 and x^2+4x+4), then add them.","Expand the cube and the square separately, then combine like terms.",,,,,,,
2571,300f,300,3,No,Expand and simplify (2x-1)^3-(x+1)^2.,8x^3-13x^2+4x-2,8x^3-11x^2+4x-2,8x^3-13x^2+4x+2,"Expand each bracket separately (8x^3-12x^2+6x-1 and x^2+2x+1), then subtract.","Expand the cube and the square separately, then combine like terms, watching signs.",,,,,,,
2572,301a,301,1,No,Write 45000 in standard form.,4.5×10^4,4.5×10^3,45×10^3,Move the decimal point so only one digit is before it: 4.5×10^4.,Count how many places the decimal point moves from the end of the number.,,,,,,,
2573,301a,301,1,No,Write 720000 in standard form.,7.2×10^5,7.2×10^4,72×10^4,Move the decimal point so only one digit is before it: 7.2×10^5.,Count how many places the decimal point moves from the end of the number.,,,,,,,
2574,301a,301,2,No,Write 3800000000 in standard form.,3.8×10^9,3.8×10^8,38×10^8,Move the decimal point so only one digit is before it: 3.8×10^9.,Count how many places the decimal point moves from the end of the number.,,,,,,,
2575,301b,301,1,No,Write 6.2×10^6 as an ordinary number.,6200000,62000000,620000,Move the decimal point 6 places to the right: 6200000.,The power tells you how many places to move the decimal point.,,,,,,,
2576,301b,301,1,No,Write 9×10^3 as an ordinary number.,9000,900,90000,Move the decimal point 3 places to the right: 9000.,The power tells you how many places to move the decimal point.,,,,,,,
2577,301b,301,2,No,Write 4.05×10^7 as an ordinary number.,40500000,4050000,405000000,"Move the decimal point 7 places to the right, filling with zeros: 40500000.",The power tells you how many places to move the decimal point.,,,,,,,
2578,301c,301,2,No,"Which is largest: 3.2×10^5, 4.1×10^4 or 2.9×10^6?",2.9×10^6,3.2×10^5,4.1×10^4,"The largest power of 10 gives the largest number, so 2.9×10^6 is largest.",Compare the powers of 10 first; a bigger power means a bigger number.,,,,,,,
2579,301c,301,2,No,"Which is smallest: 6.1×10^7, 5.9×10^8 or 6.1×10^6?",6.1×10^6,5.9×10^8,6.1×10^7,"The smallest power of 10 gives the smallest number, so 6.1×10^6 is smallest.",Compare the powers of 10 first; a smaller power means a smaller number.,,,,,,,
2580,301d,301,2,No,"Order 5.6×10^8, 5.6×10^7, 5.06×10^8 from smallest to largest.","5.6×10^7, 5.06×10^8, 5.6×10^8","5.6×10^7, 5.6×10^8, 5.06×10^8","5.06×10^8, 5.6×10^7, 5.6×10^8","Compare powers first, then the leading digits when powers match: 5.6×10^7 < 5.06×10^8 < 5.6×10^8.","Sort by power of 10 first, then compare the leading numbers if the powers match.",,,,,,,
2581,301e,301,2,No,Write 42×10^5 in standard form.,4.2×10^6,42×10^5,4.2×10^5,"42 is not between 1 and 10, so shift it: 4.2×10^6.","Rewrite the leading number so it is between 1 and 10, adjusting the power to match.",,,,,,,
2582,301e,301,2,No,Write 35×10^7 in standard form.,3.5×10^8,35×10^7,3.5×10^7,"35 is not between 1 and 10, so shift it: 3.5×10^8.","Rewrite the leading number so it is between 1 and 10, adjusting the power to match.",,,,,,,
2583,301f,301,3,No,"Order 250000, 3.1×10^5, 199000 from smallest to largest.","199000, 250000, 3.1×10^5","250000, 199000, 3.1×10^5","199000, 3.1×10^5, 250000",Convert each to the same form: 199000 < 250000 < 310000.,"Convert every value to an ordinary number first, then compare.",,,,,,,
2584,301f,301,3,No,"Order 6.4×10^6, 6400000, 6.04×10^6 from smallest to largest.","6.04×10^6, 6.4×10^6, 6400000","6.4×10^6, 6.04×10^6, 6400000","6.4×10^6, 6400000, 6.04×10^6","Note 6.4×10^6 and 6400000 are equal, and both are larger than 6.04×10^6.","Convert every value to an ordinary number first, then compare.",,,,,,,
